emotion_label,text
neutral,why ?
joy,sage act upgrade on my to do list for tommorow.
sadness,on the way to my homegirl baby funeral!!! man i hate funerals this really shows me how blessed i am
joy,"such an eye ! the true hazel eye-and so brilliant ! regular features , open countenance , with a complexion , oh ! what a bloom of full health , and such a pretty height and size ; such a firm and upright figure ! there is health , not merely in her bloom , but in her air , her head , her glance . one hears sometimes of a child being ' the picture of health ' ; now , she always gives me the idea of being the complete picture of grown-up health . she is loveliness itself ."
joy,"@iluvmiasantos ugh babe.. hugggzzz for u .! babe naamazed nga ako e babe e, despite nega's mas pinaramdam at fil ko ang"
fear,i'm expecting an extremely important phonecall any minute now #terror #opportunity
sadness,".couldnt wait to see them live. if missing them in nh7 wasnt painful enuf, suraj 's performing his last gig in delhi."
surprise,maken tip [NUM]: stop op een moment dat je het hele project wel ziet zitten. nu dus. #derestkomtlaterwel
surprise,en dan krijg je ff een cadeautje van een tweep #melike
surprise,"@1116am drummer boy bij op verzoek van @biemoosterhof . @frankcornet : welke uitvoering, van wie?"
anger,"the bull tossed the effigy out of their hands and became very infuriated . """
sadness,people hide their behind a #fake smile.
joy,"for once in his life , leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition ."
fear,against the assault of laughter nothing can stand. ~ mark twain #emotionalcourage
anger,"with everything , with everybody , with all this !"
sadness,"shakuhachi dress $[NUM], [NUM]-[NUM] mm lens $[NUM] #pain :("
surprise,"haha of course i come home to a different house, leave it to my parents to redo the entire downstairs without warning"
joy,i have a feeling i will fail french #fuckfrench
joy,good.let ' s go now .
surprise,"@julialeader i reeeeeellllyyyyyyy need to tell you something, but guess what. my go phone is fucked up. #gotohellmexicanphone"
sadness,"oh , that's too bad . should i call a doctor ?"
joy,"when i fell in love with \x\"". overnight i felt confidence, self-esteem, responsible and worthwhile."""
fear,"is a primitive #instinct that's your friend.it warns you to pay attention when ur in danger,it tells you to do or act to save yourself"
anger,i have to talk to you !
fear,i was riding with a friend in his car. at a speed of [NUM] km/h on the snow-covered motorway i would have liked to get out.
sadness,you're so welcome @madelineerich8! so glad i could make your night! love you. please don't leave me :( i'm gonna miss you so much!
surprise,another ending? i almost pooped my pants at the end of last weeks crazy ending! #decoded
joy,one could get terribly ecstatic but that would be a dangerous thing to do .
sadness,so much for losing something.. going to fat burger for dinner with dad
joy,when i was selected to study here at university.
joy,"yeah , it ’ s been ages ! so how have you been ?"
fear,is a friend that you misunderstood but i know the #heartoflife is good..
fear,@nicolescherzy & &#xa;&#xa;add those three things up and you have a symptom called #nervoso &#xa;&#xa;u wanna learn [:
shame,"nobody doubted him , or failed to recognise his temporary financial embarrassment ."
fear,the bank had made no secret of their dismay over virgin 's venture into airlines .
joy,when i passed the b.a exams with first class results.
sadness,homies all go to ride ponies... i look at them like a sad puppy #wanttoride #ankleneedstoheal
surprise,pop out &amp; roll across the floor !
sadness,omg its december 5th and the windows are open at my house. mr. winter where are you. jack frost is missing too.
surprise,alleen nog even morgen cadootjes kopen in stadje en dan helemaal klaar
surprise,"i'm not from this planet, i'm from one of the other planets that hold life &amp; are just being discovered."
anger,"when you kill yourself with work and see the number of slakers wandering around, doing nothing."
fear,few years ago my father was very ill. he stayed at a hospital for a long time. then i experienced that terrible feeling that i might lose him.
sadness,i thought they had already agreed to everything . that ’ s going to take weeks to rework .
anger,my parents didn't allow me to go to a social function that all my friends were attending.
fear,"&quot;the family is the bedrock of our society. unless we protect it with the institution of marriage, our country will fall.&quot;"
sadness,bro team lost... .... least he played with swag... #freshcut
joy,when i heard that i had been selected fot the first year at the university of zambia. this was after my form five at chikola secondary school.
anger,"when someone tried to rape one of my best friends and he claimed it was her fault. he the hassled her, claimed she was loose, and threatened to sue her."
joy,welp time to study for the next few days...
joy,heading to campus in the rain to take grad photos
fear,my own dismay at the way those kids were savaging the flora of stonethwaite is a good example .
sadness,that moment of terror when you go to drink your hot chocolate knowing its about to burn your mouth.
sadness,"well , i am under a lot of pressure . my boss is very pushy . he assigned me three projects . now the deadlines are near , and i still have not finished all of my projects ."
sadness,sink is broken so no 2night: was going to be lamb..now just pbj!
sadness,i apparently lost my best-friend..
fear,“@mattmosley: this is the shakiest [NUM]-point lead in history of college football.” lol
fear,"people who get trapped in an elevator actually do take the stairs next time,, don let take over and wear you down .. #quote #life"
sadness,i very rarely am in desperate need of someone to talk to. tonight is one of those nights. everyone is sleeping. i'm at a loss.
sadness,when i was a sr. in hs. one of the class counselors died of hepatitis. she was very sensitive. she knew my shyness and drew me out to improve myself image. i missed her funeral - so i could not publically grieve. my parents didn't understand.
surprise,good morning what do you have in store for me today?!?!... #enjoytheday
neutral,"my mother-in-law used to do the same thing to us . if it wasn't disciplining them enough , then we were disciplining them too much . she also complained about the food we fed them , the schools we sent them too , and everything else under the sun ."
joy,i am feeling awesome .
joy,@thebodyshopuk brings me - i've just bought all my christmas presents and i didn't have to trawl loads of shops! :)
surprise,i almost forgot my hair was red until i looked in the mirror
fear,when i heard that my father had found a letter from my boyfriend and he was calling me to talk about it.
fear,results from seeing ourselves walk into a situation w/o the lord. faith is realizing that he gets there b4 we do.
fear,she shot him a horrified look .
neutral,"well , i didn't think so at first . but as we started talking , i found him extremely funny and witty . i couldn't stop laughing at his jokes ! and we have so much in common . we like the same team , music , and most amazingly , we both love chinese food ! i have the feeling that we are going to be great friends ."
fear,not applicable to myself.
joy,i just shit my pants. pure [NUM]% gravy.
fear,two years ago i saw a film on the tv. even now it makes me afraid.
joy,class then jamming out my last paper of the quarter. no reason to celebrate though. studying will begin right after.
sadness,"noooooo, no pongan super torpe a las [NUM] de la mañana, entendemos que nadie lo ve, pero yo sí! y no me voy a levantar para verlo"
fear,seeing a stray dog run right pass you on morehouse campus..
neutral,once in a while .
anger,side effect of not smoking reefer.
fear,when i was [NUM] years old i frequently was pursued by others and got sound thrashes.
fear,“@frankyfade: the team is hot @andrealandis” yes sir
fear,"dad , i'm scared ."
joy,i can't wait to just sleep in tomorrow! i must study tonight and tomorrow and the next night oh and [NUM] essays due!
anger,is a juvenile emotion that even the most simple minded creature can express
anger,"suppressing her annoyance at being called "" little sara "" , she replied that all was well ."
joy,now time to unpack and finish some homework
surprise,stopped today for gas in a small town to my an attendant came to tell me &quot;we are full #service. do you young #tweeters have a clue
surprise,can't wait for @siobhanshannonx to open her christmas prezzie #christmas
surprise,decorating the entire house with christmas cheer for my mommy.
anger,sly was left feeling absolutely livid .
surprise,iemand nog surprise idee voor een vrouw?
disgust,"@wt2themax1 i'm sorry my blanket isn't comfortable enough for you, that kid isn't #hehasfeelingstoo so what if he eats his scabs..."
anger,i had left a student newspaper of the chinese university on the table of the library. it had disappeared when i came back.
joy,"at a choral concert i appeared as a solist. the concert5 was very good, i forgot all the hard work that had been done before. there remained only an undescribable joy and a feeling of warmth, security etc."
fear,@tshavonne girl a picture of that book is in my twitter pics lol. nah i haven't used it...or rather tried it lol
surprise,the trouble comes when you realise you've gone from watching reruns to living one. #oh
sadness,"he glanced up , saw auguste 's anguished eyes , and thought he understood ."
