text,sarcasm_label
seeing ppl walking w/ crutches makes me really excited for the next [NUM] weeks of my life,1
"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved.",0
now i remember why i buy books online @user #servicewithasmile,1
@user so is he banded from wearing the clothes? #karma,1
just found out there are etch a sketch apps. #oldschool #notoldschool,1
"hey what do you know, one of the witnesses supporting darren wilson's story lied! and is racist! mind blown!",1
@user on stage at #flzjingleball at the @user in #tampa #iheartradio,0
you know it's going to be a great day when you're garmin resets itself and you spill some cinnamon down yourself #slowclap,1
halfway thorough my workday ... woooo,1
would like to thank my nephew for giving me his horrible cold & sore throat etc.. much appreciated!,1
i forked node! get ready for the future. (where's my interviews),0
"@user i'm off to visit great-nephew very ill, only [NUM] fair",0
"if his twitter account is any sign, then this book looks to be a must read id rather read twilight",1
nicholas sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,1
@user can u use smartphone?||[URL] app pays you!|see-[URL] |go [NUM]:,0
"when we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude & festivity of loving.",0
.@celticowlwisdom alert the media! some guy on twitter has un-cited proof that evolution is wrong! let's get his nobel prize ready!,1
shameless' accounting firms make vast sums advising rich on how to rip off taxpayers - accounting chief|[URL] <,0
#popcorn!!!!!! bringing this at movie tuesday night!!,1
main issue with the walking dead- you forget to breathe when you're watching. so bloody good #walkingdead,0
need to get back in to college.. #feeling #this,0
no. its actually not friday. today we proudly present sunday~! so... go enjoy your sunday.,0
thank god she doesn't get me to do this anymore!!! ellielippitt #barber #hairdresser #blondie...,0
@user lol how and what is a cthulhu ?? funny autocorrect so helpful,1
i refuse to be weak... #workout #motivation #fitfam,0
why yes! of course i use a lot in my day....because violence is illegal.,1
@user no duh. ? is will owners fire goodell for it? my guess he gets a raise #goodellmustgo,1
i hate plane rides but i wanna go to so many different countries,1
stop being the fan. and be the person blowing minds.,1
ok watching how hurt parents are when their kids decide to elope definitely makes me change my mind about it. small cozy wedding it is,1
i liked a @user video new chocolate bar palette review | semi sweet vs. original,0
"@user advertising an online special with an expiry countdown, yet you cant order anything or check your postcodes validity.",1
love that i still have kids that still wake up early on christmas #justkiddingilovethem,1
that moment when you have so much stuff to do but you open @user ... #productivity #tumblr,1
oh god i just so happens that i love really love slow internet #slowinternet,1
simply having a wonderful christmas time :d,0
isnt it the best when youre really tired then when you finally get in bed youre wide awake? i love it,1
breaking up with your girl so you don't have to buy her any presents ||#lowbudget #smartmove #a #good #idea #butscheming doe,0
glad there's not a typhoon where we go on holiday in [NUM] weeks. #fml,1
#lol with all due #respect to #kobebryant .. he is #mj ^_^ but damn near #close !! #legends,0
"@user you don't know a damned thing about baseball, do you?",0
"rogers, that smile just so accurately captures my reaction when i receive an extra high phone bill!",1
all i can say is i'm lucky.,0
"#notcies #eu liverpool workers ""miscarriage of justice"" victims",0
"@user yesss! what makes it worse is when they look gorgeous and say ""i just got my face beat!"" wtf? #contradiction",1
xmas on the blog feat @user and @user * read our story and share the love click the link...,0
"watching the move 'begin again' and the verisimilitude is overpowering, it's like i'm back in the 90s music business again.",1
this is not the moon. pictures like the moon is made of light bulbs. #the #moon :),0
i got ready and then got to school and parked in less than [NUM] minutes! #miracle,0
"@user yeah. so as you can see, i have great success with the ladies! and i'm totally excited for having sex some more!",1
i don't like clowns but i'm going to be one.,1
mls transactions [NUM] #mls making waves again [NUM] b fair it will take more than [NUM] players to fix this,1
@user i'll be a bit sweaty by the time i get to you!,0
a bad game last night. way to go packers!,0
i hope i could recover from fever today. i need to start with strama..,0
