text,emotion_label,sarcasm_label
"I don ' t understand how you can have any sympathy for show biz stars . They ' re overpaid , over-ambitious , and over-adored .",0,-1
I look at her pictures every night . I miss her so much . Why did I do this .,5,-1
"When I finished a relation after four years , leading to much sorrow for the other one and myself ( \ although it was the best solution \ "" ) . """,5,-1
"I was responsible for Community Programme for the last 18 months of its life , so I ' m delighted to be involved in introducing Community Action .",3,-1
Loves talking to my mom andd aunt abouut my summer romance with an older man #KindaFunny,3,-1
Walking in the dark by myself .,2,-1
He laughed at Claudia ' s startled expression .,7,-1
I Do Believe That There 's A Love u Wanna Share ' I 'll Take Good Care Of u Lady Have No,2,-1
I have an intense of screwing in lightbulbs because I feel like it 's going to shatter in my hands .,2,-1
"heck , sometimes i think i 'm being followed by local police but i do n't cause they 're probably just protecting my right to protest .",2,-1
Christmas songs lie to me . The say jump in bed & cover your head cause Santa clause is coming tonight .. yet Santa does n't come,5,-1
Did n't have time to watch @USER this weekend,5,-1
Do n't worry.He is an acrobat 。,4,-1
practice was n't that baddd ! game against fpc tomorrow ... and they play dirty .,3,-1
but do n't you think it annoying to overcharge the customers by such a handsome margin ?,0,-1
"When I passed the B . A exams and my parents allowed me to carry on my studies and do a M . A . , I was very happy .",3,-1
To talk in a meeting - expound my thoughts on a subject . Fear delayed me acting to do this .,2,-1
Me and my mom just got to the store and realized she left her purse at home :p :P,3,-1
@USER One glorious day they 'll invent a machine that reads our minds and scans the pic directly onto the computer .,3,-1
I was thinking about death .,2,-1
I think I 'm the only girl whose mom wo n't let her go shopping on Black Friday .,3,-1
Read it !,4,-1
Made it to Maryland ! But wake and bake plans fell through,5,-1
need a lil uplifting word to start off your check out my account . The theme this morning,3,-1
Sometimes life can get real ... but even when your eyes are filled there 's a peace that you can feel . His love rescues with hope,3,-1
"@USER norris green IS bad , remember the time we got stuck in the ghetto near sainsburys ?",2,-1
The moment your favorite @USER song comes on but it 's not the version you like but you #rockout anyways ! ! ! #livinthedream,5,-1
Get to finish this exciting Sunday with a show about midgets,3,-1
