emotion_label,text
0,"I don ' t understand how you can have any sympathy for show biz stars . They ' re overpaid , over-ambitious , and over-adored ."
5,I look at her pictures every night . I miss her so much . Why did I do this .
5,"When I finished a relation after four years , leading to much sorrow for the other one and myself ( \ although it was the best solution \ "" ) . """
3,"I was responsible for Community Programme for the last 18 months of its life , so I ' m delighted to be involved in introducing Community Action ."
3,Loves talking to my mom andd aunt abouut my summer romance with an older man #KindaFunny
2,Walking in the dark by myself .
7,He laughed at Claudia ' s startled expression .
2,I Do Believe That There 's A Love u Wanna Share ' I 'll Take Good Care Of u Lady Have No
2,I have an intense of screwing in lightbulbs because I feel like it 's going to shatter in my hands .
2,"heck , sometimes i think i 'm being followed by local police but i do n't cause they 're probably just protecting my right to protest ."
5,Christmas songs lie to me . The say jump in bed & cover your head cause Santa clause is coming tonight .. yet Santa does n't come
5,Did n't have time to watch @USER this weekend
4,Do n't worry.He is an acrobat 。
3,practice was n't that baddd ! game against fpc tomorrow ... and they play dirty .
0,but do n't you think it annoying to overcharge the customers by such a handsome margin ?
3,"When I passed the B . A exams and my parents allowed me to carry on my studies and do a M . A . , I was very happy ."
2,To talk in a meeting - expound my thoughts on a subject . Fear delayed me acting to do this .
3,Me and my mom just got to the store and realized she left her purse at home :p :P
3,@USER One glorious day they 'll invent a machine that reads our minds and scans the pic directly onto the computer .
2,I was thinking about death .
3,I think I 'm the only girl whose mom wo n't let her go shopping on Black Friday .
4,Read it !
5,Made it to Maryland ! But wake and bake plans fell through
3,need a lil uplifting word to start off your check out my account . The theme this morning
3,Sometimes life can get real ... but even when your eyes are filled there 's a peace that you can feel . His love rescues with hope
2,"@USER norris green IS bad , remember the time we got stuck in the ghetto near sainsburys ?"
5,The moment your favorite @USER song comes on but it 's not the version you like but you #rockout anyways ! ! ! #livinthedream
3,Get to finish this exciting Sunday with a show about midgets
0,"Angry at being separated from Jeanne , Modigliani spent much of his time drinking in a windowless little bar where local artists met , where he drank and ran up debts ."
2,"When mother was very ill , I feared that she would die ."
0,I hate not having anyone to smoke with right now . My brother wo n't wake the fuck up . #rage #thuglife
1,So the same bum a $ $ ninja & his friend that were trying to buy me drinks & food walked out on the waiter ! ! ! LAMES Me ! ! !
0,"When I am discussing something with a person and I realize that the other person is thinking over her own argumentations instead of listening , I become angry ."
0,When my boyfriend told me that it would be difficult for him to marry me .
2,I confronted a bigger person than I and almost got into a fight .
5,"So on the one night @USER & I decide to get our social lives back on track , it decides to rain ..."
7,I 'd be completely freaked out if one day I was having stomach pains and 2 hours later a baby 's head was coming out of my vagina .
7,Today was actually a pretty alright day ! Selling my DS and games tomorrow so I can buy his christmas present :)
4,I will be all right soon . I was terrified when I watched them fall from the wire .
3,"I would n't mind the thunderstorm , it 's just that my dog is petrified of thunder & barks at it . There is only a thin wall seperating us ."
4,Please look at the sky.Don ' t you see the dark clouds ? It 's going to rain soon .
7,"Herstige ' gestampte ' pot , met superieure wijn en gesprek . Wordt een vroeg en ... zonder"
4,What 's the problem ?
3,"The warden and his wife , being owners of a Siamese cat , were not overjoyed to see Emily but they reluctantly fed her a saucer of milk , saying that she could stay for one night ."
5,When I heard that a good friend had committed suicide .
2,"One itemised phone bill to Bedworth ' s horrified mother ran to 34 pages of listed calls , the jury heard ."
5,How can we have a house full of food but still nothing to eat .
3,Auuuuuuu ! ! ! :D ! RT @USER : Cc @USER LOL ! ! Lwena my honey .. Hahaa :smiling_face: RT @USER : My honey 's birthday in 5 days ... :heart_suit:
5,"The elections of 1982 and 1985 . The thought of what a social democrat and communist majority could achieve , especially \ worker share \ "" funds and its extension . """
3,"I ' m really happy in the group now . """
0,a woman worth some is certainly worth some #effort
5,i feel like want to tears when i watch that video .
3,Feels good being able to beat box again of having a swollen lip
0,Why do I get the feeling that someone is doing something to screw this up again once I get another chance ... #onemorereasontohateu
5,Gettin ready to drive back to chatt town ... Last minute playing with my little b 's !
2,"And know that I pop bottles because I bottle my emotions , at least I put it all in the open"
0,Sure . You look like you 're all black and blue .
5,Ca n't tell you how bad I feel right now quitting smoking :(
3,"I do feel like a trip to Florida on such a gloomy day in New York , to enjoy the sunshine while lying on the beaches of Florida ."
2,"Just before I started my study I had to move , I was very afraid to be left alone and that I could not manage it ."
5,"Well , My car is total wrecked .. Miss it already .. Pff .."
2,Watch this press conference on & this guy squirmming when asked about the terms / length of the contract .
7,My Dad gives pretty good dating / boy advice .
7,Home bound ! :) Carl bought me McDo and Snickers again ! \: D / Thank you for picking me up in school ! :)
3,"Just home from group celebration - dinner at Trattoria Gianni , then Hershey Felder 's "" MAESTRO "" performance - AMAZING ! !"
2,"Seven years ago tomorrow , I said to myself , "" I bet that whole ' gum stays in your stomach for 7 years ' thing is bullshit . "" #comeuppance"
2,After mischieviously ringing on the chemist 's trade-entrance doorbell and getting caught by him .
4,Goodbye .
5,My friend was badly hurt .
3,"He 's merciful and kind , he 's in my life . Divine"
1,@USER Like going to TPs on a Friday night then seeing some horrendously fat girl taking a piss outside Lloyds back
0,Yes . I can't find my sweater . I have my laundry sent to you yesterday but when the washing is done . I find my swatter missing .
3,The Muppets is absolutely perfect . I plan on crying tears of sheer bliss through nearly the entire thing again very soon .
5,At the death of my husband 's father 's mother which occurred during university examinations and therefore I was unable to attend her funeral .
3,@USER Great topic today on your show - I know it can be done from experience !
3,"Break ! Close your eyes , breathe deeply , remember the most wonderful gift you ever received . Enjoy again . #LJB"
0,And thank you very much for letting me keep it so long .
3,"May the God of hope fill you with all joy and peace in believing , so that by the power of the Holy Spirit you may abound in hope . #hope"
3,@USER is giving at Christmas time and not expecting one back
3,This is pretty exciting . I 'm in a seminar with 49 other ladies who are business owners .
0,Is it bad that i have the feeling to grab this kids 's ceramics pot and break it ?
0,Hey . Maybe throw that one to Wallace . I did n't need those six fantasy points or anything . S'not like the playoffs are on the line !
6,"Ashamed of having frightened me , he looked at me sweetly and began to sing Italian songs to make me forget the incident "" ."
5,Finding out I am not chosen for the English lectures .
3,""" @USER : Ca n't wait to hear Hubie Brown break it down for the first time this season """
3,A cup of hot chocolate ~
3,got a 1000 word drama play review to write some point this evening
0,She did n't look quite so indignant as she ' d looked before .
3,today is the day after which means it 's time to put up the Christmas tree and decorations .. did that weeks ago . hello Christmas carols !
3,Keep doing good . Every good act matters . @USER &
2,"is the source of #Hate . Do n't be scared , we 're all One . #OneLove #NoFear"
0,"I was very angry when my friend lost my practical 's journal , which I needed to study for the exams ."
5,I made an interesting observation that my somewhat correlates to my spending . I feel like buying a car now ...
3,I kind of adore Conway ! So much fun and full of my favorite people ! Met with Shelley Kelley and @USER ! Now lunch w / @USER !
5,When I was not selected to go to the University of Malawi I felt very sad .
3,Loaned my book to @USER for the night .. Means I 'm reading 100 pages tomorrow . #ohwell
0,Someone told me that I was chosen for English lectures because the class leader is going out with me ( not true ) .
3,"Cool down , man . Everyone is fed up with the rush-hour traffic . But life is n't really all that . You should take the initiative and make some changes first ."
3,When my favourite football team made a goal and was about to win the Cup of England .
4,Again !
3,I am feeling very positive .
0,Doing a group assignment and being left to do all the work and take the blame for any mistakes .
1,And when her words caused a peculiar revulsion within him .
0,@USER u are one feisty angry little asian tonight are n't you RAWRRRR
3,In college . But I do n't dance very often . What 's your favourite dance ?
7,@USER What a great gift for my Secret Santa ! cc @USER @USER
3,"@USER My niece running towards me , arms out for a hug & smiling when we meet for lunch every Wednesday brings me"
3,A day filled with reading some book for English .. #shootme
3,"When I finally managed to get a specific sound from my guitar , after baving tried for a long time ."
5,was amazing . too bad the finale is next week
5,When I noticed obvious marks of old age ( in a negative sense ) on a close relative of mine .
3,Just got home from work six hours ago .. & I 'm already on my way back ..
0,I hate the local clubs in my city that think a local band 's nobody lead guitarist will brings thousands to their place . THEY WON'T !
3,So blessed by those I 've surrounded myself with and their loving support as graduation is near ! #family #friends
2,I can wait to see the return of factor tomorrow . My wife however is not
3,Eating Butterkiss Toffee Popcorn while playing Skyrim ! :D
3,"Early night for me , I can feel me and the forklift becoming good friends tomorrow"
2,I was a bit frightened when it was found that there was something wrong with my liver . However it turned out that it was not serious and I need not worry .
