text,sarcasm_label
this pressure is unreal. keep it up,0
my dorm is actually really creepy when i'm the only one in it... 😖,0
look at this trash. you can clearly see his handle. he stole my name and my pictures,0
cluck! rt @user most transparent administration ever sends password-protected documents to oversight. #gruber,1
probably going to fail tomorrow yayy #globalartisthma #mtvstars one direction,1
what a golden morning. 😒 #not,1
@user get around them,1
"let's just hope nene isn't too hurt. day to day instead of week to week, please. #praying #basketballgods",0
ohio state putting it #onwisconsin ... no match.,0
love waking up to grumpy people,1
@user but it wasn't as bad as that picture seemed to indicate. you're still a very horrible person.,1
"fell asleep @ [NUM]:30pm, woke up at [NUM]:00am. can't get back to #sleep. i had almost forgotten about you #insomnia - welcome back.",1
they #can't be #identified|#uk should allow more #syrian refugees #entry among them will be #islamists potential #terrorists,0
the fact an officer would threaten to throw a mother in a squad car lamenting over her dying child's wicked/absurd!,0
"@user but russell is a good christian fella, he wouldn't do that.",1
tramp shit #youoweme #follow,1
such a great damn day.,1
@user you know this is wrong don't you please help us out here #euvat,1
are sororities upset that their sisters are making their organizations look bad or that the world sees how some of them act?#sororitysisters,0
so kind of occ health to book my tb skin test on my day off uni. i am thrilled,1
human brains disappear every day. some of them have never even appeared.. ||[URL] #humanbrain,1
when one ear breaks on your headphones it's so frustrating! #today,0
buddhism chant (kids) #music #education,0
horray to working all weekend! #sarcasm #ohwell 💰💰👍😏,1
@user hahaha such a [NUM]% town,0
don't think that you can just use my boyfriend when you have noone else...#not#on#my#watch,0
"bestiestest. *teary-eyed* the king is coming! my god's not dead, he's surely alive! #god's #not #dead #faith",0
"@user you guys sure screwed this up royally. i'm happy for lester, the brain trust over there sucks. #nicejob #lestertochicago",1
powerful picture taken by a #protester the #night before #christmas. the is real.,1
"seriously tho if you need me anytime over winter break just shoot me a text. probably won't respond cuz i'll most likely be eating, but hey",0
"@user you are pretty so i better play your ""free"" #skinnerbox game. i'm sure it won't ask for my money after a few levels.",1
"a 'republican move' which will 'effectively rob the royals'. kate's spending 32k on1meal, who is being robbed? #irony",1
"soon, stop, wtf, and omg are deff my fav things to hear 😂",1
@user so i gave up and am now heading for bed orz,0
was swarmed by about [NUM] teenage girls as i walked in the mall...help. at least they were leaving right?!,0
i love not being able to sleep right now.,1
love that i still have kids that still wake up early on christmas #justkiddingilovethem,1
@user haha quite right mate! they coonty workers have got it aff easy al tell ye! oot here workin like a hamilton accie 👳 😂😂,1
@user to the officer's defense...that was a very scary looking phone. #blacklivesmatter,1
it is so nice knowing you have everyone's back and yet no one has mine.,1
"#aussie #gunman #was #on terrorist #watch #list, pm #says: sydney – the gunman who took [NUM] hostages in sydney...",0
"nice friendly drivers @user ""never get on a bus with a £[NUM] note mate"" what a way to make you feel welcome!",1
"got nothing against muslims, but fuck these islamic cunts are disgusting :/ #sydneysiege",0
i should of just made a canvas of coffee stains and be done with it. #art,1
might go back to bed it's easier then making the effort @user #wrong 😂😭,0
@user anytime! cash is acceptable every where. and can be used toward whatever they want/need.,0
@user don't say anything... just retweet it @user,0
"@user a thief, a liar, a vote rigger, mocks those who use food banks and an online bully #irony",0
